SRSNo,eventNo,hitX,hitY,time_diff_range_cut,totcharge,time_diff,time_diff_cor,charge_time_res
362539,335451,14.853285789489746,25.03402328491211,True,29.5220882166439,6.256801875497388,0.009866351743470503,21.635618969107288
362559,335471,23.77136993408203,25.29357147216797,True,0.9561370108808995,6.2679315312882125,-0.04574242202895995,104.88016040882715
362571,335483,20.59711456298828,30.1326847076416,True,2.0182561340590017,6.164082907217079,-0.1370281154126527,88.34962872176268
362579,335491,17.334142684936523,28.12093162536621,True,8.199968942631791,6.226623988444629,-0.03748231608471109,44.30916473446173
362617,335529,18.465673446655273,31.40073585510254,True,29.05321887825137,6.268066626149476,0.021028121054660787,21.781741329074563
362620,335532,21.506601333618164,28.906301498413086,True,3.6391146109161805,6.430160967425593,0.14360708094577213,70.2478474457308
362676,335588,22.68976593017578,27.285215377807617,True,2.173709252255228,6.13719026790173,-0.1623035708076106,86.28245795402418
362797,335709,15.886417388916016,26.345115661621094,True,1.9472321168664846,6.169447857687032,-0.13241956109739128,89.32129984074297
362829,335741,18.59651756286621,28.232080459594727,True,1.2159322599708777,6.69263538223359,0.3822951849750833,100.41290710450886
362852,335764,23.667217254638672,20.92794418334961,True,3.0835736656616124,6.631719202628005,0.34071436027041635,75.66197365242863
362853,335765,54.123931884765625,35.311241149902344,True,2.667693885177323,6.463433572032187,0.1687461892159181,80.22152652676229
362905,335817,37.944862365722656,29.66152572631836,True,6.991071355597372,155.6649335797007,149.3967239205687,48.93884963832473
362957,335869,19.807392120361328,24.84330177307129,True,1.9353405930987135,6.170920277665459,-0.13107487697545217,89.48569185154884
362967,335879,19.752187728881836,18.429092407226562,True,5.79400676550601,6.329436943699903,0.05605409485938928,54.81068717928909
363252,336094,27.071422576904297,19.277273178100586,True,3.9623027155205506,6.25735865804657,-0.026830793657767416,67.41421263330068
363254,336096,18.434310913085938,24.591501235961914,True,2.57356834774321,6.7387774907542735,0.4432117739276631,81.31981875455531
363284,336126,11.389756202697754,21.604713439941406,True,8.804214170638113,6.301145600543322,0.038749398881984476,42.37243029997107
363301,336143,13.5255126953125,24.627992630004883,True,24.661561727476656,6.285102660463025,0.036994319991871194,23.458620652307147
363365,336207,14.613692283630371,24.05638313293457,True,33.67657287035928,6.268578332678885,0.022505294513445406,20.55366196567722
363373,336215,21.276351928710938,17.877952575683594,True,26.309925721100644,6.198063180052628,-0.04961592585878627,22.75728240062011
363379,336221,20.260122299194336,6.597228050231934,True,27.003404229990572,6.215844400070466,-0.03166546536060899,22.489702537288043
363387,336229,20.052932739257812,24.662025451660156,True,4.235163174956814,6.405385167585649,0.12307322058577164,65.18463188093834
363426,336268,38.32722091674805,23.770362854003906,True,0.49814290994909527,6.246090488343327,-0.0739181259424253,113.52559181082735
363498,336340,12.242631912231445,64.25748443603516,True,15.23339477138248,6.296556587961959,0.044079004052838044,30.329646251455344
363505,336347,16.730234146118164,23.26416778564453,True,2.461819167148757,512.7274013318798,506.4307703652983,82.65741045354606
363516,336358,22.965469360351562,17.785598754882812,True,2.8985208673902005,6.301955935225493,0.009351502087744379,77.6335564003548
363557,336399,18.13352394104004,14.558049201965332,True,3.273698386672338,6.231736290089827,-0.0576875546657174,73.72678163983872
363559,336401,16.891653060913086,17.90846061706543,True,29.47289321573603,6.23126362139584,-0.015682636826040763,21.650693716976363
363588,336430,21.90546417236328,19.381755828857422,True,1.090094344203902,6.390393481890385,0.07846099738937973,102.53940289069016
363605,336447,16.01957893371582,24.6141300201416,True,5.671629455134431,10.471011302929355,4.197025495647344,55.50046551170869
363622,336464,18.541133880615234,19.925071716308594,True,2.0431470410344534,6.755825284384599,0.4549767206525619,88.01318748214496
363634,336476,21.38405990600586,22.6004638671875,True,1.8129277964961399,6.164549602977758,-0.1387789661165062,91.20695104382993
363644,336486,20.845050811767578,40.27603530883789,True,56.58605824747638,6.232802344843549,-0.008930408003836376,18.205685667264195
363710,336552,19.95631980895996,22.063106536865234,True,28.083041800417973,6.252768297515189,0.005511430795740679,22.102186552939898
363761,336603,18.55202293395996,19.896303176879883,True,1.1303140212354763,6.6113329857682,0.29991395925790165,101.8522429651342
363796,336638,22.6861629486084,17.65415382385254,True,2.6231962934194293,5.082970254571677,-1.2121302267488776,80.7375583456037
363801,336643,17.312175750732422,23.451305389404297,True,3.1382285044433273,6.084993022504705,-0.20555096140833662,75.0964873605547
363857,336699,21.66086196899414,19.203086853027344,True,1.482378172130718,6.695730881886021,0.388627726452226,96.13063373636763
363887,336729,61.02347946166992,13.208157539367676,True,1.7718825360774058,6.257083401649197,-0.04669990163229265,91.79611747279012
363951,336793,23.5642032623291,21.472068786621094,True,15.13272139760053,6.2451350352490635,-0.007426245459194902,30.445987279623743
364012,336808,18.546579360961914,23.214168548583984,True,3.9164228710777382,5.788016353867562,-0.4964992564204085,67.80337006928322
364092,336888,17.026586532592773,19.751054763793945,True,1.058141108946423,6.243894318293371,-0.06844916586044114,103.09042696992911
364140,336936,23.267635345458984,19.645811080932617,True,4.01386292869469,6.358053480200795,0.07422691646503488,66.98187411812442
364165,336961,25.081289291381836,24.01449966430664,True,27.547018968049205,6.290358920384506,0.04297790365643728,22.290324644875177
364249,337045,27.990949630737305,31.023902893066406,True,6.398450113346328,6.260937681848645,-0.009676943129909077,51.6597052054149
364339,337135,12.291688919067383,28.362041473388672,True,16.536426360406857,6.367665661074284,0.11615797808794959,28.942318643277968
364381,337177,97.67423248291016,29.617788314819336,True,35.20662963122518,6.2748062783439025,0.029036052081325536,20.23648462881639
364429,337225,21.847986221313477,15.707219123840332,True,1.347169959184763,6.389433960938078,0.08071057570175988,98.26717097056779
367990,340435,42.554710388183594,39.0695686340332,True,11.99280851765469,4.794616252913727,-1.4614333806649302,34.95956960618584
367992,340437,40.835357666015625,23.970046997070312,True,3.5039777575366537,6.15152724117533,-0.1360629014504955,71.49895769671394
368004,340449,36.65029525756836,26.51230812072754,True,1.2641290978738102,5.978888622376701,-0.33085267060602597,99.61648547071924
368024,340469,37.15852737426758,24.358383178710938,True,0.29124093211743257,6.237430756931246,-0.08564392428935541,117.78273702433687
368041,340486,36.62794494628906,20.52296257019043,True,0.19478580122110326,6.211222825228958,-0.11332705769640761,119.84764433311766
368058,340503,40.247310638427734,21.67694091796875,True,0.8124915845672052,6.327141141400148,0.011545024058106534,107.48190772688235
368071,340516,38.7916374206543,19.77758026123047,True,3.2889257140458987,6.3713866204526255,0.08208673718383785,73.57561329096123
368132,340577,36.741455078125,22.104978561401367,True,0.40989134262893506,5.9399377500333514,-0.3813625016948574,115.3132772117068
368143,340588,38.50041198730469,15.083609580993652,True,5.3282755805050535,6.333135274870557,0.0573753986697465,57.53815249049231
368221,340666,35.545963287353516,16.386035919189453,True,1.2227565585909659,6.352012447947942,0.04175741614616335,100.29954022561174
368257,340702,37.055458068847656,19.274612426757812,True,0.4308017524201165,6.265831255407676,-0.05516080309640081,114.88596562265653
368263,340708,35.73393249511719,22.481077194213867,True,1.8196430401284855,6.193685278163088,-0.10956926185156313,91.11114102357047
368289,340734,35.556488037109375,17.653736114501953,True,2.661947668028523,6.2812956874001316,-0.013444827488781286,80.2878462156162
368291,340736,39.735679626464844,25.742677688598633,True,0.5361614835322054,6.098053653088584,-0.2214058072684555,112.76807118109724
368329,340774,39.6374397277832,22.863473892211914,True,0.24211137971924243,6.127351282530157,-0.19647108626914722,118.82796619113789
368459,340833,35.077274322509766,20.079538345336914,True,5.7262361352254585,6.316564898144975,0.042849993150705146,55.1903893843711
368477,340851,40.06928634643555,24.15496826171875,True,0.726355354500006,6.401089992962369,0.08431338179242864,109.08912856782162
368478,340852,42.718658447265625,13.372520446777344,True,16.64721250655591,6.265193567010812,0.013759616988350487,28.83365541988797
368584,340958,34.341732025146484,17.768848419189453,True,4.081523394689494,6.273581074382889,-0.00977508178107378,66.42244177517718
368593,340967,34.21257781982422,16.400869369506836,True,1.1738504816108648,5.661302487695679,-0.6495655585409761,101.1163885851829
368598,340972,35.246761322021484,20.55809783935547,True,2.2619615673343088,6.25826458674365,-0.040334087390432316,85.14424203933048
368663,341037,36.480228424072266,22.4797306060791,True,0.44287745915266286,6.213443189112638,-0.1073714995750894,114.64025656620939
368683,341057,41.5124626159668,21.909940719604492,True,0.66905872597509,6.195772890935899,-0.12180077983154014,110.17831914366164
368706,341080,42.88962173461914,18.640409469604492,True,9.668093331160357,6.055963046630183,-0.20431471851857275,39.95236763919448
368710,341084,34.774993896484375,19.28687858581543,True,0.25668157174230355,6.293606966884994,-0.02999286300848958,118.51657913805974
368725,341099,33.91913986206055,75.73043060302734,True,49.36827220026786,6.260754735069753,0.01767213573537596,18.563696251814072
368846,341220,11.561806678771973,31.742900848388672,True,1.5271248589202668,6.171989900221405,-0.13458699475193292,95.43964392225855
368859,341233,40.71969985961914,11.525728225708008,True,44.49051904754392,6.258732110981981,0.01473438068944155,18.947909878413743
368864,341238,36.184051513671875,17.442270278930664,True,9.10526248201106,5.130225024591965,-1.1313920653973621,41.485882290360124
368905,341279,36.9987907409668,19.287338256835938,True,1.132856529663127,6.033215006581514,-0.2781717055623698,101.80904243161783
368962,341336,37.18169021606445,17.976341247558594,True,9.228273879127643,6.223218637336288,-0.038093070678735685,41.13740220759733
369018,341392,49.920841217041016,59.39254379272461,True,10.394752793962796,6.292068444885359,0.03331760603153988,38.18284785251142
369086,341460,34.98088836669922,12.199088096618652,True,0.5772409203232493,6.6269599419168514,0.3080889776033384,111.95796431332276
369126,341500,39.35918045043945,20.195293426513672,True,2.0321574241230715,6.325514779493574,0.024550504217389246,88.16147055023929
369132,341506,39.22893142700195,18.98583984375,True,0.6814202478330788,6.213455777729422,-0.10394512485419405,109.94195591395942
369158,341532,40.47737503051758,16.84323501586914,True,8.180817490518011,6.500162034553284,0.23599812155557665,44.37425454018139
369163,341537,35.58515930175781,20.547510147094727,True,1.2589288969039631,6.3487329677659545,0.03892734448594304,99.70194208562292
369187,341561,30.535200119018555,35.94782638549805,True,26.57253281403644,203.70604822332814,197.45843389289988,22.654155694601343
369214,341588,32.84060287475586,37.760658264160156,True,19.0900428467198,6.214100570194034,-0.03597399107510135,26.738165538376002
